AC7.2	C47C12.3
AH6.5	C03D6.3
AH6.5	C04A2.3
AH6.5	C12C8.3
AH6.5	C27A2.6
AH6.5	C30C11.4
AH6.5	C33H5.9
AH6.5	C52A11.2
AH6.5	C55B7.9
AH6.5	F08B4.5
AH6.5	F10E9.8
AH6.5	F16D3.4
AH6.5	F18H3.5
AH6.5	F22B5.1
AH6.5	F44B9.7
AH6.5	F47F6.1
AH6.5	F48C1.4
AH6.5	F49E11.1
AH6.5	K02A11.1
AH6.5	K04G7.11
AH6.5	K05C4.6
AH6.5	K08E3.6
AH6.5	M01E5.5
AH6.5	M6.1
AH6.5	R02D3.5
AH6.5	R05D3.7
AH6.5	T01G9.6
AH6.5	T04D3.2
AH6.5	T23D8.9
AH6.5	T26A5.9
AH6.5	W08F4.8
AH6.5	W09C2.1
AH6.5	Y106G6H.7
AH6.5	Y40B1A.4
AH6.5	Y49E10.21
AH6.5	Y49F6B.1
AH6.5	Y52B11A.9
AH6.5	Y54E5B.3
AH6.5	ZK1151.1
AH6.5	ZK550.4
B0025.2	C02F5.9
B0025.2	C05D11.3
B0025.2	C16A3.8
B0025.2	C26C6.2
B0025.2	C27D11.1
B0025.2	C28A5.3
B0025.2	C30C11.4
B0025.2	C32D5.3
B0025.2	C44E4.4
B0025.2	C55B7.5
B0025.2	F11C1.6
B0025.2	F32E10.1
B0025.2	F41E6.4
B0025.2	K07F5.14
B0025.2	K12H4.8
B0025.2	R07E5.3
B0025.2	R09F10.3
B0025.2	R13G10.1
B0025.2	T01B7.5
B0025.2	T01D1.2
B0025.2	T04A8.6
B0025.2	T25G3.3
B0025.2	T26G10.1
B0025.2	T27F2.1
B0025.2	T28F12.2
B0025.2	W02A11.4
B0025.2	W07E6.1
B0025.2	W09C5.2
B0025.2	Y63D3A.5
B0025.2	ZK1127.5
B0025.2	ZK856.10
B0035.11	B0285.1
B0035.11	B0336.6
B0035.11	C01G8.5
B0035.11	C03D6.3
B0035.11	C05D11.9
B0035.11	C08F8.1
B0035.11	C14F5.5
B0035.11	C16A3.8
B0035.11	C17G10.2
B0035.11	C25A1.9
B0035.11	C26C6.5
B0035.11	C26D10.2
B0035.11	C27A2.6
B0035.11	C27F2.10
B0035.11	C27H6.2
B0035.11	C30C11.4
B0035.11	C32D5.3
B0035.11	C37A2.4
B0035.11	C41G7.1
B0035.11	C44E4.4
B0035.11	C47E12.2
B0035.11	C55B7.5
B0035.11	C55B7.8
B0035.11	C55B7.9
B0035.11	C56C10.8
B0035.11	D2013.5
B0035.11	D2013.7
B0035.11	D2021.1
B0035.11	F08D12.1
B0035.11	F11C1.6
B0035.11	F11H8.4
B0035.11	F16B4.8
B0035.11	F16D3.4
B0035.11	F18F11.5
B0035.11	F21C3.5
B0035.11	F22B5.1
B0035.11	F22B5.2
B0035.11	F25B3.6
B0035.11	F25B4.6
B0035.11	F28D1.10
B0035.11	F29D11.1
B0035.11	F32E10.1
B0035.11	F33H1.3
B0035.11	F35H10.4
B0035.11	F40F8.10
B0035.11	F55F8.2
B0035.11	F56A11.1
B0035.11	F57B10.3
B0035.11	F58B3.4
B0035.11	F59E10.1
B0035.11	F59G1.7
B0035.11	K01C8.9
B0035.11	K01G5.5
B0035.11	K02B12.1
B0035.11	K04G7.11
B0035.11	K07F5.14
B0035.11	K12F2.1
B0035.11	K12H4.8
B0035.11	M01E5.5
B0035.11	M106.5
B0035.11	M18.5
B0035.11	R02D3.3
B0035.11	R05D3.4
B0035.11	R06A4.4
B0035.11	R06C7.5
B0035.11	R07E4.6
B0035.11	R07G3.1
B0035.11	R08D7.2
B0035.11	R11A8.2
B0035.11	R13F6.1
B0035.11	R74.1
B0035.11	T02G5.9
B0035.11	T06D8.8
B0035.11	T10B5.3
B0035.11	T16H12.4
B0035.11	T23B12.7
B0035.11	T23D8.9
B0035.11	T23G7.1
B0035.11	T25G3.3
B0035.11	T26A5.7
B0035.11	T26G10.1
B0035.11	T27F7.3
B0035.11	W06E11.1
B0035.11	W07E6.1
B0035.11	W08D2.7
B0035.11	W08F4.8
B0035.11	Y111B2A.11
